646778.18,5493161.04
646779.10,5493163.95
646781.14,5493166.57
646783.29,5493169.34
646785.55,5493172.25
646788.24,5493174.98
646791.06,5493177.84
646796.06,5493182.90
646803.69,5493190.62
646806.00,5493192.96
646808.37,5493195.37
646810.81,5493197.84
646813.32,5493200.38
646815.88,5493202.97
646818.50,5493205.62
646821.16,5493208.32
646823.88,5493211.07
646826.65,5493213.88
646829.47,5493216.73
646832.35,5493219.65
646835.30,5493222.63
646838.31,5493225.68
646841.38,5493228.79
646844.49,5493231.94
