646385.06,5493618.05
646382.55,5493624.48
646380.04,5493630.91
646371.99,5493651.51
646369.48,5493657.95
646366.96,5493664.39
646364.64,5493670.34
646362.59,5493676.56
646361.43,5493682.69
646360.24,5493689.02
646359.03,5493695.40
646356.53,5493701.21
646312.05,5493701.77
646314.79,5493570.47
646239.74,5493555.62
645975.58,5493654.77
645968.67,5493654.55
645961.76,5493654.33
645934.12,5493653.44
645918.92,5493652.95
645912.00,5493652.86
645895.41,5493652.78
645884.35,5493652.74
645874.67,5493652.77
645860.87,5493652.89
645853.97,5493653.02
645847.06,5493653.08
645809.72,5493653.28
645798.87,5493653.34
645792.24,5493653.44
645785.89,5493653.78
645772.12,5493651.05
645766.94,5493647.85
645764.54,5493641.65
645762.45,5493635.59
645760.14,5493628.85
645758.03,5493622.70
645755.79,5493616.18
645753.54,5493609.64
645751.44,5493603.54
645747.62,5493598.24
645742.97,5493594.16
645737.28,5493591.04
645730.83,5493590.34
645724.58,5493591.20
645718.94,5493594.46
645713.63,5493598.67
645708.69,5493603.01
645703.46,5493607.95
645698.73,5493612.42
645693.71,5493617.17
645688.68,5493621.92
645683.66,5493626.67
645678.66,5493631.45
645673.78,5493636.36
645668.92,5493641.27
645649.47,5493660.89
645638.01,5493672.89
645633.27,5493677.91
645628.53,5493682.92
645623.78,5493687.93
645619.03,5493692.96
645558.21,5493757.25
645548.73,5493767.27
645543.98,5493772.30
645539.22,5493777.33
645534.46,5493782.36
645529.71,5493787.38
645525.78,5493793.04
645522.15,5493798.95
645518.54,5493804.85
645514.92,5493810.73
645511.30,5493816.63
645507.69,5493822.50
645504.07,5493828.40
645500.45,5493834.30
645491.05,5493849.61
645485.99,5493857.85
645475.15,5493875.51
645471.52,5493881.41
645448.38,5493919.11
645444.04,5493926.17
645440.42,5493932.06
645436.81,5493937.95
645433.19,5493943.84
645429.58,5493949.72
645419.45,5493966.22
645413.74,5493975.68
645410.21,5493981.62
645406.69,5493987.57
645403.16,5493993.51
645399.63,5493999.46
645396.11,5494005.41
645392.56,5494011.34
645389.00,5494017.26
645385.43,5494023.18
645381.87,5494029.09
645376.96,5494033.53
645371.34,5494031.40
645366.53,5494027.35
645361.86,5494022.59
645357.50,5494018.13
645353.27,5494013.79
645348.53,5494009.01
645343.74,5494004.33
645338.73,5493999.59
645332.55,5493997.15
645326.89,5493994.91
645320.64,5493992.85
645313.87,5493991.70
645306.99,5493991.19
645287.72,5493989.40
645271.23,5493987.82
645258.80,5493987.51
645251.87,5493987.35
645242.19,5493987.11
645231.13,5493986.84
645224.22,5493986.67
645217.32,5493986.51
645188.27,5493985.80
645148.15,5493985.24
645141.23,5493985.17
