646494.18,5492917.39
646491.99,5492919.64
646489.69,5492922.00
646487.28,5492924.48
646484.73,5492927.09
646482.07,5492929.83
646479.30,5492932.66
646476.43,5492935.61
646473.44,5492938.68
646470.34,5492941.86
646468.20,5492944.06
646466.01,5492946.31
646463.76,5492948.61
646461.46,5492950.97
646459.11,5492953.38
646457.48,5492956.39
646455.86,5492959.52
646454.21,5492962.72
646452.52,5492965.99
646450.79,5492969.31
646449.04,5492972.69
646447.26,5492976.14
646445.44,5492979.66
646445.24,5492998.37
646444.92,5493028.07
646444.87,5493032.84
646444.82,5493037.59
646444.77,5493042.36
646444.72,5493047.12
646444.44,5493051.83
646442.34,5493056.11
646440.25,5493060.39
646438.15,5493064.67
646424.54,5493092.50
646422.44,5493096.79
646414.81,5493105.87
646411.62,5493109.41
646402.06,5493120.03
