646155.07,5493668.49
646155.65,5493665.42
646156.26,5493662.21
646156.90,5493658.83
646157.57,5493655.25
646158.28,5493651.48
646159.03,5493647.52
646159.81,5493643.37
646160.62,5493639.07
646161.18,5493636.11
646161.78,5493633.07
646162.44,5493629.97
646163.12,5493626.80
646163.82,5493623.53
646164.53,5493620.19
646165.26,5493616.77
646166.00,5493613.30
646166.76,5493609.75
646167.53,5493606.11
646168.33,5493602.38
646169.14,5493598.57
646169.97,5493594.68
646170.82,5493590.70
646171.69,5493586.65
646172.57,5493582.52
646173.46,5493578.33
646174.37,5493574.05
646175.30,5493569.69
646176.25,5493565.27
646177.21,5493560.76
646178.19,5493556.19
